Won_Championship,Previous_SB_Wins,Number_Of_Wins_This_Season,Number_Of_First_Round_Draft_Picks,Team_Value,Playing_Style,Average_Player_Age,Number_Of_Injured_Players,Coach_Experience_Level,ID
0,3,13,2,Less_Than_Four_Billion,Balanced,27,five,Intermediate,6056
0,2,14,2,Less_Than_Four_Billion,Aggressive_Offense,26,five,Intermediate,9702
1,2,13,1,Less_Than_Four_Billion,Aggressive_Defense,27,four,Intermediate,1745
0,2,12,2,Above_Four_Billion,Balanced,27,six,Intermediate,4757
0,1,15,2,Less_Than_Four_Billion,Balanced,26,five,Intermediate,7242
0,2,14,2,Less_Than_Four_Billion,Balanced,26,five,Intermediate,8757
0,2,15,3,Less_Than_Four_Billion,Balanced,26,five,Intermediate,3773
1,2,14,2,Less_Than_Four_Billion,Aggressive_Defense,26,five,Intermediate,6405
0,2,16,2,Less_Than_Four_Billion,Aggressive_Defense,26,four,Intermediate,6542
1,1,13,2,Less_Than_Four_Billion,Aggressive_Defense,26,five,Intermediate,5058
1,3,14,2,Less_Than_Four_Billion,Aggressive_Offense,27,five,Intermediate,3031
1,1,12,2,Less_Than_Four_Billion,Balanced,26,five,Intermediate,7155
0,2,15,2,Less_Than_Four_Billion,Aggressive_Defense,26,four,Intermediate,2902
1,2,15,1,Less_Than_Four_Billion,Aggressive_Defense,27,three,Beginner,1960
0,2,15,2,Less_Than_Four_Billion,Aggressive_Defense,26,four,Intermediate,3222
0,2,14,2,Less_Than_Four_Billion,Relaxed,27,seven,Intermediate,8392
0,2,16,3,Less_Than_Four_Billion,Aggressive_Defense,25,four,Intermediate,16
0,2,15,3,Less_Than_Four_Billion,Balanced,26,five,Intermediate,1651
0,1,13,2,Less_Than_Four_Billion,Aggressive_Defense,27,six,Intermediate,2211
0,2,15,3,Above_Four_Billion,Aggressive_Defense,26,five,Intermediate,2350
0,1,15,2,Less_Than_Three_Billion,Balanced,26,four,Intermediate,8244
1,1,14,2,Less_Than_Four_Billion,Aggressive_Defense,26,four,Advanced,3133
0,2,14,2,Less_Than_Four_Billion,Aggressive_Defense,26,five,Intermediate,3862
0,1,15,2,Less_Than_Four_Billion,Aggressive_Defense,25,six,Beginner,5302
1,1,14,3,Less_Than_Four_Billion,Balanced,27,six,Intermediate,9143
1,2,13,2,Less_Than_Four_Billion,Aggressive_Defense,27,four,Advanced,8786
0,2,13,2,Less_Than_Four_Billion,Balanced,27,five,Intermediate,7061
1,1,13,2,Less_Than_Four_Billion,Balanced,27,three,Advanced,1789
1,1,12,2,Above_Four_Billion,Aggressive_Defense,27,five,Intermediate,3355
